,"Abbott, H. Porter","Adorno, Theodor W.","Agamben, Giorgio","Althusser, Louis","Anderson, Benedict R. O'G.","Bachelard, Gaston","Badiou, Alain","Bal, Mieke","Balibar, Étienne","Barthes, Roland","Bataille, Georges","Baudelaire, Charles Pierre","Baudrillard, Jean","Bauman, Zygmunt","Beauvoir, Simone de","Beck, Ulrich","Benjamin, Walter","Bergson, Henri","Bhabha, Homi K.","Blanchot, Maurice","Booth, Wayne C.","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Peter","Butler, Judith","Chatman, Seymour Benjamin","Culler, Jonathan D.","Deleuze, Gilles","Derrida, Jacques","Eagleton, Terry","Eco, Umberto","Eliade, Mircea","Eliot, Thomas Stearns","Fanon, Frantz","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Genette, Gerard","Giddens, Anthony","Girard, René","Goldmann, Lucien","Gramsci, Antonio","Greimas, Algirdas Julien","Hall, Stuart","Haraway, Donna J.","Hegel, Georg Wilhelm Friedrich","Heidegger, Martin","Hobsbawm, Eric John","Hutcheon, Linda","Jameson, Fredric","Kant, Immanuel","Kierkegaard, Søren","Kristeva, Julia","Kropotkin, Petr Alekseevich","Lacan, Jacques","Lakoff, George","Latour, Bruno","Lefèbvre, Henri","Levinas, Emmanuel","Lukács, Georg","Lyotard, Jean-Francois","Marcuse, Herbert","Marx, Karl","McLuhan, Herbert Marshall","Merleau-Ponty, Maurice","Moretti, Franco","Nancy, Jean-Luc","Negri, Antonio","Nietzsche, Friedrich","Nussbaum, Martha Craven","Ong, Walter J.","Prince, Gerald","Rancière, Jacques","Ricoeur, Paul","Rimmon-Kenan, Shlomith","Said, Edward","Sartre, Jean Paul","Simmel, Georg","Sontag, Susan","Spinoza, Baruch De","Spivak, Gayatri Chakravorty","Stanzel, Franz Karl","Taylor, Charles","Virilio, Paul","Wellek, René","Žižek, Slavoj",大村益夫,白川豊,가라타니 고진,고모리 요이치,루쉰,사에구사 도시카쓰,사카이 나오키,아리스토텔레스,아즈마 히로키,와다 하루키,요시미 순야,우에노 치즈코,플라톤,한나 아렌트
"Bataille, Georges",0,0,5,1,1,5,5,0,0,0,0,2,2,2,0,0,4,2,0,2,0,0,0,0,1,0,0,6,1,1,0,1,1,0,11,10,1,1,4,3,0,0,0,0,0,2,2,0,0,1,1,0,2,0,1,0,0,0,1,1,0,5,2,0,3,0,0,0,3,2,1,0,2,1,0,0,0,3,0,1,1,0,0,0,0,6,0,0,1,0,0,0,0,2,0,0,0,2,0,1
"Baudelaire, Charles Pierre",0,1,3,0,0,1,1,0,0,3,2,0,0,1,0,0,5,0,0,1,0,1,0,0,0,1,0,2,1,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,2,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baudrillard, Jean",0,2,4,0,0,1,1,0,0,2,2,0,0,4,0,1,10,0,0,0,1,7,1,1,2,0,0,4,0,0,1,0,0,1,6,4,0,0,3,3,0,1,0,0,1,0,1,1,0,4,0,0,1,0,4,1,0,4,0,2,2,0,4,3,0,1,0,0,0,0,2,0,0,2,0,0,0,3,0,0,0,0,1,0,1,3,0,0,2,0,0,0,0,1,0,0,0,0,1,0
"Bauman, Zygmunt",3,1,21,1,1,3,5,0,1,2,2,1,4,0,0,10,14,0,0,5,0,2,3,2,8,2,0,9,6,4,1,0,0,0,24,11,2,2,2,3,2,2,0,2,2,0,2,0,0,5,0,0,3,0,2,1,1,7,3,6,2,1,4,0,0,5,2,4,1,11,0,0,11,2,0,1,0,5,5,0,3,0,1,0,0,17,0,0,3,0,0,0,0,2,1,0,0,1,0,6
"Beauvoir, Simone de",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,1,0,0,0,0,0,0,2,3,0,0,2,0,0,1,0,0,1,0,4,0,0,0,0,0,3,0,2,0,0,0,1,2,0,0,0,0,1,1,0,0,2,3,0,1,0,1,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Beck, Ulrich",2,0,2,0,0,0,4,0,0,0,0,0,1,10,0,0,2,0,0,2,0,0,1,1,2,0,0,2,0,0,0,0,0,0,5,0,1,0,6,1,0,0,0,0,2,0,0,0,0,3,2,0,1,0,0,1,4,0,3,0,0,0,1,0,0,2,2,0,0,2,0,0,3,0,0,0,0,1,0,0,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,3
"Benjamin, Walter",3,13,53,5,6,4,18,0,4,12,4,5,10,14,0,2,0,7,7,8,0,3,1,5,14,4,0,34,31,16,2,0,0,2,38,26,3,1,3,9,3,1,0,0,2,7,12,2,5,17,6,0,14,2,6,4,1,9,9,10,2,3,14,4,5,11,5,4,5,6,7,0,37,6,0,1,4,18,13,1,6,0,2,4,1,33,1,0,20,1,2,0,3,6,3,2,0,2,4,11
"Bergson, Henri",1,1,5,1,1,2,2,1,0,1,2,0,0,0,0,0,7,0,0,0,0,0,0,0,1,3,0,12,2,1,1,2,0,0,4,7,1,0,0,1,1,0,0,0,0,0,5,0,0,0,0,1,3,1,2,0,0,0,3,1,0,1,2,0,4,1,0,1,2,4,0,0,3,1,0,0,2,0,1,3,0,0,0,1,0,4,0,0,2,0,0,0,0,2,1,1,0,0,0,0
"Bhabha, Homi K.",1,1,5,1,6,3,3,0,0,1,0,0,0,0,0,0,7,0,0,0,0,2,0,1,5,1,1,3,6,2,1,1,1,7,12,8,0,1,2,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,1,1,2,0,0,7,0,0,2,0,1,3,0,11,0,0,0,0,4,0,0,9,0,0,0,6,0,0,0,0,0,0,0
"Blanchot, Maurice",1,2,4,2,1,1,6,0,1,4,2,1,0,5,0,2,8,0,0,0,2,3,1,4,7,2,0,11,6,2,0,1,1,0,9,6,3,0,1,1,1,0,0,0,1,1,15,1,0,3,0,0,1,0,3,0,0,5,4,4,1,0,0,0,6,3,14,2,1,2,1,0,12,2,0,0,1,3,4,0,0,0,0,0,0,11,0,0,3,0,0,0,1,1,0,0,0,1,0,1
"Booth, Wayne C.",2,0,1,0,0,0,1,3,0,5,0,0,1,0,0,0,0,0,0,2,0,1,0,2,0,14,2,3,0,2,4,0,1,0,2,1,3,6,0,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,1,1,0,3,0,6,9,0,0,0,0,0,1,5,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Bourdieu, Pierre",0,0,3,3,3,1,3,1,1,2,0,1,7,2,1,0,3,0,2,3,1,0,0,2,8,0,0,8,5,4,1,0,1,1,14,8,0,2,1,1,1,0,1,5,1,1,1,2,1,4,3,0,3,0,2,2,1,1,1,2,0,0,2,9,0,2,0,3,1,1,5,0,9,5,0,0,0,6,0,0,4,0,1,0,0,9,2,0,3,1,0,0,1,1,0,0,0,0,0,2
"Braidotti, Rosi",1,0,7,1,0,2,4,0,2,0,0,0,1,3,1,1,1,0,0,1,0,0,0,0,10,0,0,15,4,1,1,1,0,1,12,2,1,0,1,1,1,0,0,0,31,0,0,0,0,1,0,0,1,0,1,1,10,1,1,2,0,0,0,1,1,1,1,0,1,10,0,1,0,1,1,0,0,1,0,2,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks, Peter",6,2,4,0,0,0,5,2,1,5,0,0,1,2,0,1,5,0,1,4,2,2,0,0,6,6,0,10,3,1,2,0,0,0,6,13,2,2,3,4,1,0,0,1,1,1,4,0,1,5,1,0,2,1,4,1,0,2,2,5,1,0,1,1,0,6,1,2,1,9,0,1,3,3,1,0,2,1,1,1,1,0,2,0,1,11,0,0,4,1,0,0,1,9,2,0,0,4,0,2
"Butler, Judith",4,3,34,8,4,4,17,0,2,8,1,0,2,8,6,2,14,1,5,7,0,8,10,6,0,4,1,17,30,10,0,0,1,1,29,36,0,2,9,5,0,0,0,4,8,4,7,1,3,6,3,1,19,0,15,3,1,4,12,7,3,0,3,1,1,2,5,5,6,28,2,0,18,6,0,0,1,3,8,2,14,0,3,3,0,27,0,0,6,1,1,0,8,2,1,0,1,8,1,13
"Chatman, Seymour Benjamin",13,1,3,0,1,2,2,5,0,3,0,1,0,2,0,0,4,3,1,2,14,0,0,6,4,0,3,7,3,2,10,1,1,1,9,5,2,19,1,3,1,0,0,1,0,0,3,0,3,3,2,0,2,0,3,1,0,2,1,3,0,0,0,1,0,2,0,0,1,0,1,6,6,13,18,0,0,0,6,1,1,6,0,1,0,4,0,0,3,0,0,1,0,9,1,0,0,0,0,1
"Culler, Jonathan D.",2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,3,0,2,2,0,0,0,2,0,4,0,1,4,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,0,1,1,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Deleuze, Gilles",2,6,33,5,3,11,22,4,3,16,6,2,4,9,1,2,34,12,3,11,3,8,15,10,17,7,2,0,23,7,6,3,2,3,52,33,2,4,4,6,3,1,0,5,6,9,17,0,5,7,14,1,11,3,19,3,6,13,16,10,4,2,8,2,9,6,7,17,20,14,5,0,24,7,1,0,5,7,7,21,3,0,1,5,1,40,0,0,15,1,0,0,6,2,0,1,2,3,6,5
"Derrida, Jacques",2,7,29,3,7,4,11,1,7,11,1,1,0,6,0,0,31,2,6,6,0,5,4,3,30,3,2,23,0,6,0,1,1,4,23,34,3,3,2,6,0,0,0,2,5,5,14,2,4,6,8,2,6,0,15,5,5,4,17,6,1,1,7,2,1,5,5,4,5,7,2,1,11,6,0,0,3,5,2,2,5,0,0,1,0,19,0,0,10,0,0,0,9,4,4,0,1,0,3,11
"Eagleton, Terry",2,3,12,4,1,0,3,0,1,3,1,0,0,4,0,0,16,1,2,2,2,4,1,1,10,2,0,7,6,0,0,1,1,1,11,8,2,0,1,5,0,0,0,0,0,0,2,3,1,8,2,0,3,1,5,3,0,1,2,3,1,1,2,1,1,4,0,3,3,6,2,0,7,2,0,0,2,0,4,3,1,0,2,1,0,16,2,0,7,2,0,0,1,2,0,0,0,0,1,3
"Eco, Umberto",2,8,1,0,1,2,0,1,0,2,0,0,1,1,0,0,2,1,1,0,4,1,1,2,0,10,0,6,0,0,0,1,0,0,1,5,1,2,0,2,0,1,0,0,0,2,0,0,3,0,4,0,2,0,2,0,0,2,2,0,1,0,0,2,0,1,0,0,1,1,2,1,2,4,2,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,3,0
"Eliade, Mircea",1,0,3,0,1,15,3,1,0,2,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,3,1,1,1,0,0,0,3,2,7,0,0,2,3,0,0,0,0,0,0,0,0,1,2,0,1,1,1,1,0,3,0,4,0,0,0,0,1,0,0,0,2,4,0,0,3,2,0,0,0,1,1,3,0,1,2,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"Eliot, Thomas Stearns",0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,2,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Fanon, Frantz",0,0,3,0,3,0,1,0,0,0,0,0,1,0,0,0,2,0,7,0,0,1,1,0,1,1,0,3,4,1,0,0,0,0,6,2,0,1,1,1,0,0,0,1,1,0,1,0,0,3,1,0,0,0,1,0,0,1,4,0,0,0,1,0,0,1,0,1,0,1,0,0,2,3,0,0,1,1,1,1,6,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Foucault, Michel",4,11,65,8,8,15,19,2,8,20,11,3,6,24,2,5,38,4,12,9,2,14,12,6,29,9,4,52,23,11,1,3,1,6,0,33,2,6,15,9,2,4,0,4,13,7,13,5,1,12,14,1,10,2,12,1,6,18,10,13,1,5,21,1,8,12,4,10,11,20,2,3,35,10,7,2,7,6,11,3,15,2,1,3,0,47,1,0,29,0,0,0,9,2,2,2,1,3,5,17
"Freud, Sigmund",4,8,29,6,3,17,16,0,2,11,10,1,4,11,3,0,26,7,8,6,1,8,2,13,36,5,0,33,34,8,5,2,0,2,33,0,3,2,4,15,3,0,2,2,3,9,11,0,2,9,4,1,26,0,50,4,1,4,13,5,1,8,8,0,7,6,6,4,10,16,1,0,13,5,1,0,5,1,6,4,2,1,1,1,0,60,0,0,13,1,0,0,2,5,3,0,0,3,6,6
"Frye, Northrop",1,0,2,0,0,8,1,0,0,1,1,0,0,2,0,1,3,1,0,3,3,0,1,2,0,2,1,2,3,2,1,7,1,0,2,3,0,1,1,2,1,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,1,9,0,0,2,0,0,3,1,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,1,1,0,0,4,0,0,0,0,2,1,0,0,0,0,1
"Genette, Gerard",13,0,1,0,1,3,1,6,0,8,1,0,0,2,0,0,1,0,1,0,6,2,0,2,2,19,4,4,3,0,2,0,1,1,6,2,1,0,1,2,0,0,0,1,0,0,2,0,3,2,1,0,2,0,4,3,0,2,1,2,0,0,0,0,1,2,0,0,2,1,0,5,3,8,13,0,0,0,3,0,0,4,1,1,1,2,0,0,3,1,0,1,0,2,0,0,0,0,0,0
"Giddens, Anthony",0,1,4,0,1,2,5,0,0,1,4,0,3,2,2,6,3,0,2,1,0,1,1,3,9,1,0,4,2,1,0,0,0,1,15,4,1,1,0,0,0,0,0,1,3,1,0,0,0,0,2,0,0,0,0,1,0,2,1,1,0,1,2,1,1,2,1,0,1,4,0,0,2,3,0,0,2,4,1,0,1,0,0,0,0,4,0,0,0,0,0,0,2,2,1,1,0,3,0,3
"Girard, René",1,5,8,3,1,2,3,0,0,2,3,0,3,3,0,1,9,1,4,1,0,1,1,4,5,3,0,6,6,5,2,2,0,1,9,15,2,2,0,0,4,1,1,0,0,1,0,1,0,2,1,0,2,0,9,2,0,5,3,2,1,2,0,0,2,2,3,0,2,3,1,0,2,3,0,0,1,1,2,1,1,0,2,0,2,15,0,0,0,0,0,0,1,4,1,0,0,0,3,1
"Goldmann, Lucien",2,0,2,0,2,3,2,0,1,0,0,0,0,2,0,0,3,1,0,1,0,1,1,1,0,1,0,3,0,0,0,3,0,0,2,3,1,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0,1,0,3,0,0,1,0,3,0,3,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1
"Gramsci, Antonio",0,1,2,3,0,0,1,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,1,0,2,0,0,0,0,2,0,0,0,1,0,1,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Greimas, Algirdas Julien",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hall, Stuart",2,1,1,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,2,5,0,1,4,1,0,5,2,0,0,0,0,1,4,2,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,2,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"Haraway, Donna J.",1,0,5,1,0,0,0,0,2,0,0,1,1,2,1,2,2,0,0,1,0,1,31,1,8,0,0,6,5,0,0,0,0,1,13,3,0,0,3,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,12,0,0,0,0,0,1,1,3,1,1,2,0,7,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"Hegel, Georg Wilhelm Friedrich",0,3,7,0,0,0,4,0,0,2,2,0,0,0,0,0,7,0,0,1,0,1,0,1,4,0,2,9,5,0,2,0,0,0,7,9,1,0,1,1,0,0,1,0,0,0,5,0,1,3,4,1,2,0,5,0,0,1,3,6,1,2,5,1,2,3,0,0,8,2,0,0,3,2,0,0,1,2,1,1,1,0,0,2,1,8,0,0,2,0,0,0,0,3,1,0,0,1,1,1
"Heidegger, Martin",0,2,6,0,1,8,8,1,0,6,2,1,1,2,4,0,12,5,0,15,1,1,0,4,7,3,1,17,14,2,0,0,1,1,13,11,1,2,0,0,0,0,0,0,2,5,0,0,1,5,6,2,5,1,8,2,1,5,8,4,3,0,8,3,10,2,7,1,12,2,0,0,3,4,1,1,10,2,1,2,2,0,0,2,0,12,0,0,9,1,0,0,0,3,1,0,0,0,0,3
"Hobsbawm, Eric John",0,0,2,0,6,0,1,0,1,1,0,0,1,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,2,3,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,1,0,1,0,0,1,1,5,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,4,0,0,0,1,0,0,1,0,0,0,0
"Hutcheon, Linda",4,1,1,0,0,2,2,0,0,2,0,0,0,0,0,0,5,0,0,0,0,1,0,1,3,3,0,5,4,1,3,0,1,0,1,2,2,3,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,2,0,1,0,4,0,1,0,2,0,2,0,0,1,0,1,0,2,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,4,0,0,1,0,1,0,0,0,0,0,0
"Jameson, Fredric",3,3,15,3,3,0,5,0,3,1,1,0,4,5,0,3,17,0,3,3,0,4,1,5,6,3,1,7,6,8,0,1,1,3,12,9,1,2,0,2,0,1,0,1,1,3,5,0,1,0,1,0,3,0,7,0,2,3,2,9,4,2,3,2,0,20,1,4,2,4,0,1,9,2,1,2,1,4,4,0,6,0,1,4,3,19,0,0,5,0,0,0,1,2,3,1,0,1,1,5
"Kant, Immanuel",0,4,4,2,3,4,4,0,3,3,1,2,0,0,0,2,6,0,0,0,1,3,0,1,3,2,0,14,8,2,4,2,1,1,14,4,1,1,2,1,2,0,0,0,1,4,6,0,1,1,0,1,3,1,5,0,2,0,6,5,6,0,3,0,3,1,5,2,7,1,0,0,3,3,0,1,1,1,2,1,2,1,0,0,1,13,0,0,10,0,1,0,1,5,0,0,0,0,1,2
"Kierkegaard, Søren",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kristeva, Julia",0,3,15,1,0,4,6,1,0,8,2,2,1,3,3,1,14,3,0,1,1,3,1,2,19,2,0,11,6,3,2,1,0,0,10,26,0,2,0,2,1,0,0,0,0,2,5,1,1,3,3,0,0,0,12,1,0,3,6,1,3,0,1,0,2,1,1,4,2,8,0,1,4,2,1,0,1,2,3,2,1,1,1,1,0,14,0,0,2,1,2,0,0,2,1,0,0,2,1,3
"Kropotkin, Petr Alekseevich",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lacan, Jacques",3,3,11,4,1,2,13,2,1,3,1,0,4,2,2,0,6,2,3,3,2,2,1,4,15,3,0,19,15,5,2,1,1,1,12,50,0,4,0,9,3,0,0,0,0,5,8,0,1,7,5,3,12,0,0,1,1,2,12,3,0,1,3,0,3,1,6,2,1,1,0,0,8,1,0,0,5,3,0,3,3,1,0,0,0,50,0,0,7,0,0,0,2,1,1,0,0,0,3,2
"Lakoff, George",0,0,2,0,0,4,0,1,0,0,0,0,1,1,0,1,4,0,0,0,0,2,1,1,3,1,0,3,5,3,0,1,0,0,1,4,0,3,1,2,0,0,2,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,5,0,0,0,0,1,0,1,0,1,2,0,1,0,1,6,2,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,1,1
