,"Abbott, H. Porter","Adorno, Theodor W.","Agamben, Giorgio","Althusser, Louis","Anderson, Benedict R. O'G.","Bachelard, Gaston","Badiou, Alain","Bal, Mieke","Balibar, Étienne","Barthes, Roland","Bataille, Georges","Baudelaire, Charles Pierre","Baudrillard, Jean","Bauman, Zygmunt","Beauvoir, Simone de","Beck, Ulrich","Benjamin, Walter","Bergson, Henri","Bhabha, Homi K.","Blanchot, Maurice","Booth, Wayne C.","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Peter","Butler, Judith","Chatman, Seymour Benjamin","Culler, Jonathan D.","Deleuze, Gilles","Derrida, Jacques","Eagleton, Terry","Eco, Umberto","Eliade, Mircea","Eliot, Thomas Stearns","Fanon, Frantz","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Genette, Gerard","Giddens, Anthony","Girard, René","Goldmann, Lucien","Gramsci, Antonio","Greimas, Algirdas Julien","Hall, Stuart","Haraway, Donna J.","Hegel, Georg Wilhelm Friedrich","Heidegger, Martin","Hobsbawm, Eric John","Hutcheon, Linda","Jameson, Fredric","Kant, Immanuel","Kierkegaard, Søren","Kristeva, Julia","Kropotkin, Petr Alekseevich","Lacan, Jacques","Lakoff, George","Latour, Bruno","Lefèbvre, Henri","Levinas, Emmanuel","Lukács, Georg","Lyotard, Jean-Francois","Marcuse, Herbert","Marx, Karl","McLuhan, Herbert Marshall","Merleau-Ponty, Maurice","Moretti, Franco","Nancy, Jean-Luc","Negri, Antonio","Nietzsche, Friedrich","Nussbaum, Martha Craven","Ong, Walter J.","Prince, Gerald","Rancière, Jacques","Ricoeur, Paul","Rimmon-Kenan, Shlomith","Said, Edward","Sartre, Jean Paul","Simmel, Georg","Sontag, Susan","Spinoza, Baruch De","Spivak, Gayatri Chakravorty","Stanzel, Franz Karl","Taylor, Charles","Virilio, Paul","Wellek, René","Žižek, Slavoj",大村益夫,白川豊,가라타니 고진,고모리 요이치,루쉰,사에구사 도시카쓰,사카이 나오키,아리스토텔레스,아즈마 히로키,와다 하루키,요시미 순야,우에노 치즈코,플라톤,한나 아렌트
"Greimas, Algirdas Julien",0,0,0,1,0,0,0,1,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,1,1,2,2,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Hall, Stuart",0,1,1,1,2,0,2,0,0,4,0,0,3,3,0,1,1,1,5,0,0,2,1,1,0,0,0,3,3,4,1,0,0,1,2,0,0,0,6,0,0,2,0,0,0,0,1,1,1,4,1,0,1,0,1,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,3,1,0,0,0,3,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Haraway, Donna J.",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hegel, Georg Wilhelm Friedrich",0,5,1,2,2,1,2,0,0,1,1,2,1,0,0,0,10,0,1,0,1,2,0,2,2,0,1,4,1,1,0,0,1,0,5,5,3,0,0,2,2,0,0,0,0,0,2,1,0,4,2,0,2,0,4,1,0,0,0,11,1,2,3,0,2,5,0,0,1,1,1,0,2,0,0,0,2,1,0,0,1,0,2,0,1,15,1,0,7,0,0,0,1,3,0,0,0,0,1,0
"Heidegger, Martin",0,5,7,6,2,9,4,0,0,6,6,1,2,2,0,0,9,5,1,5,1,0,0,2,1,1,1,13,18,4,2,3,2,1,11,18,0,0,2,4,1,0,1,1,2,2,0,0,1,5,7,1,8,2,12,0,0,8,11,4,5,1,3,0,5,0,3,0,6,0,0,0,2,8,0,1,11,2,3,1,1,0,2,0,0,12,0,0,5,0,0,0,0,0,0,0,0,1,2,4
"Hobsbawm, Eric John",0,0,1,0,18,0,0,0,1,0,0,0,0,0,0,1,4,0,3,0,0,3,0,1,2,2,1,1,0,3,0,0,0,1,3,0,0,0,1,1,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,3,0,0,6,1,0,0,1,0,0,1,0,2,0,2
"Hutcheon, Linda",0,0,0,0,1,1,1,2,0,6,0,0,5,0,1,0,1,0,2,0,1,2,0,0,2,3,2,4,0,0,3,1,0,2,3,3,5,2,3,0,0,0,1,1,0,0,1,0,0,1,0,0,10,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0
"Jameson, Fredric",0,2,4,2,9,4,1,0,3,4,1,0,5,2,0,0,15,0,4,0,1,0,0,3,3,1,1,12,8,12,3,0,2,5,9,3,2,1,4,0,3,1,0,4,1,4,5,4,1,0,3,0,3,0,3,2,1,6,2,6,3,2,12,0,1,8,1,1,4,0,0,0,2,1,1,0,2,1,1,0,1,0,1,0,2,14,0,1,7,1,0,1,2,0,0,0,0,0,0,0
"Kant, Immanuel",0,4,4,1,1,3,4,0,1,1,0,1,1,0,0,1,4,1,2,0,0,1,0,0,1,0,0,12,8,8,1,0,0,1,8,9,0,1,1,0,1,2,0,1,0,2,7,0,0,3,0,0,3,1,7,1,0,0,2,2,5,2,5,0,1,0,9,0,6,0,1,0,2,2,0,0,5,3,0,2,1,1,2,0,0,21,0,1,12,1,0,0,0,4,0,0,0,1,1,5
"Kierkegaard, Søren",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
