,"Abbott, H. Porter","Adorno, Theodor W.","Agamben, Giorgio","Althusser, Louis","Anderson, Benedict R. O'G.","Bachelard, Gaston","Badiou, Alain","Bal, Mieke","Balibar, Étienne","Barthes, Roland","Bataille, Georges","Baudelaire, Charles Pierre","Baudrillard, Jean","Bauman, Zygmunt","Beauvoir, Simone de","Beck, Ulrich","Benjamin, Walter","Bergson, Henri","Bhabha, Homi K.","Blanchot, Maurice","Booth, Wayne C.","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Peter","Butler, Judith","Chatman, Seymour Benjamin","Culler, Jonathan D.","Deleuze, Gilles","Derrida, Jacques","Eagleton, Terry","Eco, Umberto","Eliade, Mircea","Eliot, Thomas Stearns","Fanon, Frantz","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Genette, Gerard","Giddens, Anthony","Girard, René","Goldmann, Lucien","Gramsci, Antonio","Greimas, Algirdas Julien","Hall, Stuart","Haraway, Donna J.","Hegel, Georg Wilhelm Friedrich","Heidegger, Martin","Hobsbawm, Eric John","Hutcheon, Linda","Jameson, Fredric","Kant, Immanuel","Kierkegaard, Søren","Kristeva, Julia","Kropotkin, Petr Alekseevich","Lacan, Jacques","Lakoff, George","Latour, Bruno","Lefèbvre, Henri","Levinas, Emmanuel","Lukács, Georg","Lyotard, Jean-Francois","Marcuse, Herbert","Marx, Karl","McLuhan, Herbert Marshall","Merleau-Ponty, Maurice","Moretti, Franco","Nancy, Jean-Luc","Negri, Antonio","Nietzsche, Friedrich","Nussbaum, Martha Craven","Ong, Walter J.","Prince, Gerald","Rancière, Jacques","Ricoeur, Paul","Rimmon-Kenan, Shlomith","Said, Edward","Sartre, Jean Paul","Simmel, Georg","Sontag, Susan","Spinoza, Baruch De","Spivak, Gayatri Chakravorty","Stanzel, Franz Karl","Taylor, Charles","Virilio, Paul","Wellek, René","Žižek, Slavoj",大村益夫,白川豊,가라타니 고진,고모리 요이치,루쉰,사에구사 도시카쓰,사카이 나오키,아리스토텔레스,아즈마 히로키,와다 하루키,요시미 순야,우에노 치즈코,플라톤,한나 아렌트
"Chatman, Seymour Benjamin",6,1,2,0,1,1,1,10,0,6,1,0,2,2,0,0,8,4,1,2,14,1,0,9,2,0,3,6,1,0,8,2,1,0,8,4,2,16,0,3,1,0,1,0,0,0,4,1,3,4,1,0,4,0,3,2,0,1,2,7,0,0,0,1,1,4,0,0,1,0,1,12,1,12,18,0,1,0,2,1,0,12,0,2,3,5,0,0,3,0,0,1,1,7,1,0,0,0,0,1
"Culler, Jonathan D.",3,0,2,1,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,3,0,3,1,2,0,0,2,0,7,0,4,5,1,0,1,0,3,0,0,3,2,1,2,1,0,0,1,0,2,1,0,0,0,3,0,0,1,0,0,1,0,0,2,0,1,1,1,1,1,0,3,1,0,0,1,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Deleuze, Gilles",2,5,33,4,4,4,21,3,3,16,7,1,6,3,0,2,35,9,4,8,4,10,1,6,8,6,3,0,22,10,1,5,3,4,51,24,1,4,2,6,3,2,0,3,2,7,18,1,4,14,15,1,8,3,24,3,4,10,17,11,4,3,9,0,5,7,4,15,16,6,3,0,18,8,1,0,9,5,2,14,4,0,1,4,2,39,1,0,11,1,0,0,2,1,0,1,1,0,3,3
"Derrida, Jacques",0,8,32,5,3,5,10,1,7,11,4,1,2,1,0,1,47,4,5,6,0,2,1,1,12,1,1,22,0,9,2,0,1,3,20,23,3,2,2,4,0,2,0,3,2,3,19,1,4,11,12,4,7,0,17,4,3,2,11,4,5,3,13,3,4,4,5,7,6,3,3,0,9,5,0,3,4,2,2,1,3,0,2,2,1,22,0,0,8,1,0,0,10,3,3,0,2,0,3,6
"Eagleton, Terry",1,6,9,7,2,1,1,0,2,4,1,0,1,2,0,0,15,0,5,0,1,4,0,3,9,0,2,10,9,0,3,1,2,2,9,10,3,2,2,7,4,2,1,3,0,1,5,6,1,14,8,0,4,1,8,2,0,2,1,6,0,1,4,1,0,5,0,3,1,3,3,0,6,3,0,2,3,2,4,2,5,0,2,2,4,20,2,0,13,0,0,1,1,2,0,0,2,1,2,1
"Eco, Umberto",1,1,1,0,0,2,0,1,0,7,2,1,4,1,0,0,4,1,0,0,3,1,0,5,0,8,0,1,2,3,0,1,0,0,2,3,1,4,1,1,0,0,3,1,0,0,0,0,2,3,0,0,1,0,1,2,0,0,0,3,0,1,1,1,1,0,0,0,0,0,3,1,0,1,2,0,2,1,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Eliade, Mircea",0,1,4,0,1,10,3,0,0,2,1,0,0,1,0,0,2,2,1,1,0,0,0,0,0,2,0,5,0,1,1,0,0,0,3,5,2,1,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,2,2,4,0,0,1,0,1,0,0,1,1,0,1,0,3,2,0,0,0,1,1,1,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Eliot, Thomas Stearns",0,0,0,0,0,3,0,0,0,4,0,2,0,0,0,0,2,0,1,0,1,0,0,0,1,1,2,3,1,2,0,0,0,0,3,0,1,1,1,1,0,0,0,0,0,0,2,0,1,2,1,1,1,0,1,0,0,0,0,1,1,0,2,0,1,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0
"Fanon, Frantz",0,0,2,2,5,1,2,0,1,2,0,0,1,1,0,0,4,0,8,0,0,1,0,0,0,0,0,4,3,2,0,0,0,0,5,2,0,0,2,2,1,1,0,2,0,0,1,0,1,7,2,0,2,0,3,1,0,1,2,0,0,0,2,0,2,2,0,2,1,0,0,0,1,2,0,1,1,0,1,1,5,0,1,0,0,5,1,0,3,3,0,1,2,0,0,0,0,0,0,2
"Foucault, Michel",3,10,32,7,10,6,13,1,6,22,9,5,9,7,2,1,39,4,6,6,2,15,0,8,4,8,7,51,20,9,2,3,3,5,0,24,3,8,12,6,2,7,1,1,6,6,14,4,3,14,13,1,8,1,23,2,2,8,6,19,3,10,14,1,4,7,2,11,8,5,4,1,17,9,6,2,8,6,5,4,4,3,4,3,1,46,1,0,28,1,0,1,5,2,3,1,0,1,4,5
"Freud, Sigmund",2,7,15,5,4,8,15,1,3,8,6,2,3,3,1,2,23,6,6,3,2,3,0,10,10,4,0,24,23,10,3,5,0,2,24,0,5,0,4,12,5,0,1,0,0,5,11,0,1,7,5,1,21,1,46,2,1,1,11,6,0,4,6,0,5,5,4,4,6,4,2,0,9,3,2,1,2,3,7,3,0,1,2,1,0,56,1,1,11,2,0,0,0,4,4,0,0,0,3,5
"Frye, Northrop",0,1,1,0,0,4,0,0,0,2,1,0,0,0,0,0,4,0,0,1,2,0,0,2,0,2,4,1,3,3,1,2,1,0,3,5,0,2,2,5,3,0,1,0,0,4,1,0,2,1,1,0,0,0,0,1,0,0,1,9,1,0,2,0,0,1,0,0,2,0,1,1,0,0,0,0,1,2,0,0,0,1,1,0,5,2,0,0,6,0,0,0,0,4,1,0,0,0,1,0
"Genette, Gerard",9,0,1,0,0,2,2,6,0,6,2,0,1,2,0,0,2,0,1,0,6,2,0,3,1,16,5,4,2,2,4,1,1,0,8,0,2,0,1,2,1,0,2,1,0,0,1,0,1,3,1,0,1,0,2,3,0,1,1,6,0,0,0,0,0,2,0,0,3,0,1,8,1,7,14,0,0,0,2,0,0,5,0,1,2,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0
"Giddens, Anthony",0,0,1,0,2,0,2,0,0,1,3,0,3,3,1,3,4,0,1,0,0,0,0,3,3,0,1,2,2,2,1,1,1,2,12,4,2,1,0,0,1,1,1,2,2,1,2,0,1,4,2,0,3,0,3,1,1,2,0,1,0,4,1,0,0,1,2,0,0,0,0,0,1,3,0,1,0,6,0,0,0,0,4,0,2,2,0,0,3,0,0,0,0,1,1,0,0,0,0,1
"Girard, René",0,2,3,2,1,3,2,0,0,1,3,0,0,0,0,1,6,0,1,0,0,2,0,0,2,3,0,6,4,7,1,1,1,2,6,12,5,2,0,0,9,0,1,0,0,1,1,1,0,1,1,0,3,0,8,1,0,3,0,4,0,4,0,0,1,1,1,0,0,1,3,1,2,1,1,0,0,1,1,0,0,1,0,0,1,9,0,0,0,0,0,0,1,3,0,0,0,0,0,1
"Goldmann, Lucien",1,1,1,1,2,3,2,0,1,1,1,0,0,1,0,0,4,1,0,0,1,1,0,1,0,1,1,3,0,4,0,2,0,1,2,5,3,1,1,9,0,1,1,1,0,1,0,0,0,0,1,0,1,0,3,0,0,1,1,13,0,4,1,0,0,0,1,0,1,1,1,0,1,2,0,0,0,2,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2
"Gramsci, Antonio",0,1,3,5,0,0,2,0,0,0,1,1,2,2,0,1,2,0,3,0,0,2,0,0,0,0,0,2,2,2,0,0,0,1,7,0,0,0,1,0,1,0,1,2,1,0,0,2,0,1,1,0,0,0,1,0,0,2,1,1,1,0,2,0,0,0,0,3,0,0,0,0,2,0,0,1,1,0,1,0,8,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Greimas, Algirdas Julien",0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,1,1,1,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Hall, Stuart",1,1,0,1,4,0,1,0,0,2,0,0,2,1,0,0,1,0,4,0,0,2,0,1,2,0,0,3,3,3,1,0,0,2,1,0,0,1,2,0,1,2,0,0,0,0,1,0,0,5,1,0,1,0,1,0,1,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,2,0,3,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Haraway, Donna J.",1,0,1,1,1,0,0,0,1,0,0,1,0,2,0,3,2,1,0,0,0,1,6,0,2,0,0,2,2,0,0,0,0,0,6,0,0,0,2,0,0,1,0,0,0,0,3,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,2,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Hegel, Georg Wilhelm Friedrich",0,2,5,2,1,1,3,0,0,1,1,2,0,0,0,0,8,0,0,1,1,0,0,1,1,0,3,7,3,1,0,0,0,0,6,5,4,0,1,1,1,0,0,0,0,0,7,0,1,4,4,1,2,0,4,1,0,0,2,9,1,2,6,0,4,8,0,0,3,1,1,0,2,1,0,0,1,1,0,0,0,0,2,1,1,11,0,0,6,0,0,0,1,3,1,0,0,1,1,1
"Heidegger, Martin",0,4,7,4,3,6,9,0,0,5,4,1,2,3,1,0,18,4,0,13,2,0,0,3,3,4,2,18,19,5,0,1,2,1,14,11,1,1,2,1,0,0,1,1,3,7,0,0,2,6,10,2,6,1,8,1,1,7,7,5,7,1,10,1,9,2,8,1,7,1,0,0,2,5,1,2,6,1,3,0,1,0,2,0,0,14,0,0,7,0,0,0,0,1,0,0,0,0,1,5
"Hobsbawm, Eric John",0,0,2,0,12,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,2,0,1,2,1,1,1,1,6,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,1,4,0,0,1,0,1,1,0,1,0,2,1,0,0,0,0,1,0,1,0,0,0,1,4,0,0,6,0,0,0,1,0,0,1,0,1,0,2
"Hutcheon, Linda",2,0,0,0,1,0,1,0,0,4,0,0,3,0,0,0,4,0,1,0,0,1,0,1,0,3,2,4,4,1,2,0,1,1,3,1,2,1,1,0,0,0,1,0,0,1,2,0,0,2,1,1,1,0,1,1,0,1,0,4,0,0,0,2,0,2,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,3,0,0,3,1,0,0,0,1,0,0,0,0,0,0
"Jameson, Fredric",3,3,10,5,9,2,4,0,5,5,2,0,7,2,0,2,21,0,3,3,0,3,0,6,5,4,1,14,11,14,3,1,2,7,14,7,1,3,4,1,0,1,0,5,2,4,6,2,2,0,3,0,3,0,6,2,3,8,2,9,5,4,13,0,0,24,2,3,2,2,0,1,6,2,2,2,2,5,3,0,4,0,0,2,3,22,0,1,8,0,0,1,2,0,3,1,0,0,1,2
"Kant, Immanuel",0,4,5,3,2,1,7,0,3,2,0,3,1,0,0,1,8,1,0,0,1,4,0,1,1,1,0,15,12,8,0,0,1,2,13,5,1,1,2,1,1,1,0,1,1,4,10,0,1,3,0,1,1,2,8,1,2,0,6,5,9,1,6,0,0,1,8,2,7,0,1,0,2,3,0,1,4,1,0,1,1,1,2,0,1,21,0,1,13,1,1,0,0,5,0,0,0,0,2,4
"Kierkegaard, Søren",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kristeva, Julia",1,3,14,2,1,1,3,0,0,10,1,3,1,3,0,1,13,2,1,1,4,1,0,5,5,4,1,8,7,4,1,1,1,2,8,21,0,1,3,3,1,0,0,1,0,2,6,0,1,3,1,0,0,0,11,0,0,1,4,3,2,1,2,0,2,1,1,3,0,4,1,0,2,2,2,1,1,1,2,0,0,1,2,1,2,10,0,0,2,0,1,0,0,3,2,0,0,0,2,3
"Kropotkin, Petr Alekseevich",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Lacan, Jacques",4,3,7,5,1,1,14,3,0,3,2,0,3,0,0,1,8,2,9,2,2,6,0,0,5,3,2,24,17,8,1,1,1,3,23,46,0,2,3,8,3,1,0,1,0,4,8,0,1,6,8,2,11,0,0,1,1,3,10,5,2,3,5,0,3,1,5,2,4,0,2,0,7,3,0,1,2,8,1,2,3,2,1,0,1,55,0,0,9,0,0,0,2,1,1,0,0,0,1,1
"Lakoff, George",0,0,2,0,0,2,0,2,0,1,0,0,1,1,0,0,4,0,0,0,0,2,0,0,0,2,1,3,4,2,2,1,0,1,2,2,1,3,1,1,0,0,0,0,0,1,1,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,1,2,0,1,0,0,7,1,0,0,3,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,1,0
