,"Adorno, Theodor W.","Agamben, Giorgio","Arendt, Hannah",Aristoteles,"Atwood, Margaret","Austen, Jane","Bakhtin, Mikhail Mikhailovich","Barthes, Roland","Baudrillard, Jean","Beckett, Samuel","Benjamin, Walter","Bhabha, Homi K.","Bloom, Harold","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Cleanth","Brooks, Peter","Brown, H. Douglas","Butler, Judith P.","Caruth, Cathy","Chomsky, Noam","Coetzee, J. M.","Coleridge, Samuel Taylor","Collins, Randall","Conrad, Joseph","De Man, Paul","DeLillo, Don","Defoe, Daniel","Deleuze, Gilles","Derrida, Jacques","Dickens, Charles","Dörnyei, Zoltán","Eagleton, Terry","Eliot, George","Eliot, Thomas Stearns","Ellmann, Richard","Emerson, Ralph Waldo","Fanon, Frantz","Faulkner, William","Fink, Bruce","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Gardner, R. C.","Greenblatt, Stephen","Hall, Stuart","Haraway, Donna J.","Hardy, Thomas","Hawthorne, Nathaniel","Heaney, Seamus Justin","Heidegger, Martin","Hemingway, Ernest","Hutcheon, Linda","James, Henry","Jameson, Fredric","Jeffares, A. Norman","Joyce, James","Jung, Carl Gustav","Kant, Immanuel","Keats, John","Kenner, Hugh","Krashen, Stephen D.","Kristeva, Julia","Lacan, Jacques","Lakoff, George","Lawrence, David Herbert","Leavis, Frank Raymond","Lessing, Doris","Levinas, Emmanuel","Lukács, Georg","Marx, Karl","McCarthy, John J.","Melville, Herman","Milton, John","Moretti, Franco","Morrison, Toni","Nietzsche, Friedrich Wilhelm","Nussbaum, Martha Craven","Poe, Edgar Allan","Pound, Ezra","Quirk, Randolph","Rancière, Jacques","Rich, Adrienne","Richards, Jack C.","Said, Edward W.","Schmitt, Carl","Shakespeare, William","Shaw, George Bernard","Showalter, Elaine","Spivak, Gayatri Chakravorty","Steinbeck, John","Twain, Mark","Vendler, Helen","Whitman, Walt","Williams, Raymond","Williams, William Carlos","Woolf, Virginia","Wordsworth, William","Yeats, William Butler","Žižek, Slavoj"
"De Man, Paul",1,1,0,1,0,0,3,3,0,0,11,5,14,1,0,4,2,0,2,4,2,2,4,0,0,0,0,0,5,20,4,0,5,0,8,4,2,0,2,2,6,8,4,0,0,0,1,0,0,0,3,0,1,0,7,4,1,0,4,9,0,0,2,10,0,0,3,1,1,2,5,5,1,3,3,0,8,1,0,0,0,2,0,0,3,0,1,1,1,5,0,1,5,0,4,1,0,11,9,8
"DeLillo, Don",0,1,1,0,0,0,1,0,9,1,4,0,3,0,0,0,1,0,2,3,2,0,0,0,0,0,0,0,7,6,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,2,0,1,0,3,0,1,0,1,0,0,0,0,3,1,0,0,0,1,0,2,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,9
"Defoe, Daniel",0,2,0,1,0,1,5,2,1,0,2,2,2,0,1,0,1,0,3,0,1,5,1,0,1,0,0,0,2,4,1,0,1,0,0,0,1,1,0,1,5,2,2,0,1,0,0,1,1,0,2,0,1,3,0,0,5,0,1,2,0,0,2,1,1,3,2,1,0,3,1,0,0,3,1,0,1,3,0,0,0,0,1,0,7,2,1,0,0,4,0,1,0,0,1,0,4,2,0,1
"Deleuze, Gilles",11,28,3,4,0,1,9,6,12,16,21,13,9,2,7,2,1,0,16,0,0,9,3,1,1,5,7,2,0,47,1,0,17,2,12,2,5,9,8,4,46,19,0,0,3,5,3,5,3,2,8,1,4,1,22,0,6,5,13,0,3,0,18,23,0,36,11,2,10,5,14,0,17,0,4,4,12,1,6,2,0,4,3,0,12,0,7,0,7,9,1,1,2,3,14,1,11,2,4,39
"Derrida, Jacques",9,23,10,5,2,1,12,28,17,3,34,14,19,1,4,5,7,0,28,10,2,12,8,2,9,20,6,4,47,0,5,0,22,1,17,9,4,8,9,11,41,36,6,0,11,2,4,0,4,2,24,2,5,3,31,2,16,0,30,4,5,0,17,44,0,12,11,1,28,8,13,0,9,2,7,6,24,6,7,4,0,5,2,0,21,6,19,2,2,19,2,1,4,2,10,0,8,15,4,48
"Dickens, Charles",2,4,1,3,0,2,12,2,1,0,5,1,5,0,0,0,2,0,1,0,1,0,0,3,3,4,0,1,1,5,0,2,9,4,2,2,3,0,0,1,12,4,5,1,0,0,2,4,2,0,3,0,1,1,3,0,2,0,1,3,1,0,3,1,0,1,14,0,0,6,8,0,0,0,4,0,0,0,3,0,0,0,3,2,3,1,0,2,3,1,0,1,3,0,14,0,3,3,0,3
"Dörnyei, Zoltán",0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,7,0,17,0,0,1,1,0,14,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Eagleton, Terry",11,2,1,4,1,5,15,7,2,2,11,14,13,4,1,6,7,1,5,0,0,5,6,0,10,5,1,1,17,22,9,0,0,5,8,8,1,9,1,5,18,14,9,0,5,6,1,9,0,12,5,1,2,5,26,5,11,1,9,2,2,0,6,17,1,11,17,0,7,15,11,0,0,1,7,0,2,1,0,2,0,2,4,1,32,0,30,0,5,22,0,0,1,0,41,0,6,5,17,21
"Eliot, George",0,0,1,0,0,3,0,1,1,0,1,1,2,3,0,0,0,5,4,1,0,0,3,0,1,0,0,0,2,1,4,2,5,0,6,1,2,1,0,1,5,5,0,2,1,0,0,5,3,0,0,1,2,6,1,0,2,1,1,0,2,2,2,4,1,6,8,0,1,1,6,0,2,0,1,2,1,0,3,2,0,0,2,3,3,1,1,0,6,1,0,0,0,2,3,0,3,5,2,4
"Eliot, Thomas Stearns",3,4,1,9,1,0,2,8,2,3,13,3,39,1,1,25,7,0,2,0,0,1,11,1,4,8,0,0,12,17,2,0,8,6,0,29,5,2,2,0,14,8,27,0,4,1,0,6,3,9,8,2,1,14,9,13,15,13,1,8,40,0,3,11,2,7,27,1,2,2,2,0,3,5,3,0,6,0,6,35,0,0,0,1,8,1,19,2,4,3,1,6,12,4,11,5,13,8,41,7
